Student_ID,Gender,Age,Degree,CGPA,Internships_Count,Projects_Count,Certifications_Count,Technical_Skills_Score_100,Communication_Skills_Score_100,Aptitude_Test_Score_100,Placement_Offer,Salary_Offered_USD
384,Female,27,Data Science,3.54,4,2,4,81,50,65,No,3497.44
385,Male,25,Arts,2.02,3,1,2,45,93,54,No,3685.82
386,Male,18,Data Science,2.34,3,4,0,43,44,50,Yes,14945.74
387,Male,18,Business,2.45,0,6,3,77,87,59,Yes,11456.02
388,Female,29,Business,2.18,1,9,3,41,87,52,No,8415.83
389,Male,20,Computer Science,2.57,1,9,2,52,62,69,No,4487.87
390,Female,22,Data Science,2.68,1,3,0,43,71,55,Yes,5953.95
391,Female,27,Data Science,2.85,4,9,5,52,88,83,No,7603.27
392,Male,28,Data Science,3.83,0,6,1,80,46,44,Yes,11271.81
393,Male,29,Business,3.03,1,8,4,91,52,57,Yes,18923.74
394,Female,19,Business,2.27,0,8,0,55,57,61,Yes,8772.98
395,Male,27,Data Science,2.98,2,3,4,56,49,74,No,9065.66
396,Male,29,Computer Science,3.03,1,3,1,86,62,55,Yes,15131.78
397,Female,23,Computer Science,2.62,2,9,4,67,63,72,Yes,11250.38
398,Female,26,Business,3.19,0,3,3,86,82,92,No,7802.32
399,Male,23,Arts,2.61,3,4,0,73,96,93,Yes,5653.91
400,Male,24,Data Science,2.56,3,7,4,61,43,97,Yes,3657.52
401,Female,26,Business,3.75,3,9,2,65,61,61,Yes,6760.82
402,Female,28,Data Science,2.81,2,3,0,83,94,97,Yes,18678.99
403,Male,22,Business,3.02,4,1,3,97,46,59,Yes,19895.36
404,Female,26,Business,3.23,3,2,3,74,91,80,Yes,16671.18
405,Male,22,Engineering,3.24,4,4,3,88,84,49,No,10848.79
406,Female,19,Arts,3.23,3,7,0,63,47,97,Yes,15146.03
407,Female,21,Business,3.53,2,1,5,85,86,44,No,16996.91
408,Female,20,Engineering,2.57,2,4,4,59,78,54,Yes,9110.34
409,Male,25,Business,3.59,1,2,5,83,90,65,Yes,6018.69
410,Female,18,Engineering,3.08,2,7,4,54,99,91,No,5762.24
411,Female,24,Engineering,3.78,2,7,2,51,70,62,Yes,12758.28
412,Female,20,Arts,3.87,1,7,5,71,56,90,Yes,4061.44
413,Female,25,Data Science,2.14,3,6,1,65,58,76,Yes,19894.46
414,Female,21,Data Science,2.84,2,5,5,93,87,47,Yes,10592.88
415,Male,24,Engineering,3.76,2,3,2,45,83,48,Yes,6887.32
416,Male,22,Business,2.92,4,8,0,61,47,54,Yes,11804.64
417,Female,20,Arts,3.82,0,7,5,95,67,60,Yes,7228.62
418,Female,24,Arts,2.03,2,2,2,58,93,94,No,13490.6
419,Female,27,Arts,3.1,0,5,4,52,99,67,Yes,16962.46
420,Female,27,Business,2.58,3,2,5,69,74,94,Yes,10187.63
421,Female,22,Data Science,2.44,1,3,4,82,86,41,Yes,15532.05
422,Female,29,Arts,2.87,3,7,0,62,57,81,No,13066.88
423,Female,25,Data Science,3.99,4,2,4,94,66,45,No,5878.76
424,Female,18,Data Science,2.54,2,1,1,97,92,76,No,6641.61
425,Female,21,Business,3.73,3,6,5,60,72,96,No,12259.54
426,Female,29,Computer Science,2.45,1,5,3,66,82,85,Yes,17434.35
427,Female,21,Data Science,3.47,0,7,2,45,44,46,No,10552.26
428,Female,19,Arts,2.62,3,4,0,64,70,57,Yes,13638.42
429,Female,20,Business,2.11,4,2,2,57,63,78,No,15900.67
430,Male,19,Business,3.77,2,7,3,98,67,91,No,16573.25
431,Male,21,Business,3.05,2,2,5,88,45,42,No,14009.2
432,Female,28,Arts,3.9,4,3,0,73,59,58,No,16291.01
433,Female,18,Engineering,3.42,4,5,4,68,64,88,Yes,13286.54
434,Female,22,Business,2.42,0,4,3,84,86,94,Yes,18716.1
435,Male,25,Data Science,3.33,2,4,4,96,92,70,No,8818.16
436,Male,29,Business,3.49,0,2,4,62,70,48,Yes,17216.35
437,Female,22,Engineering,3.75,0,9,2,95,61,62,Yes,14014.67
438,Male,28,Data Science,3.54,3,2,1,40,78,56,Yes,12744.83
439,Male,22,Data Science,3.35,1,9,5,70,44,53,No,15207.59
440,Male,25,Data Science,2.45,1,9,3,40,56,69,Yes,3392.81
441,Male,24,Business,2.09,3,5,4,46,85,87,No,16282.41
442,Female,21,Business,2.47,0,8,4,76,41,43,Yes,6898.44
443,Male,21,Data Science,2.62,3,5,0,76,78,58,Yes,5614.67
444,Male,27,Engineering,2.96,1,9,4,82,82,58,No,14295.59
445,Male,24,Computer Science,2.86,3,6,1,69,46,70,No,18345.26
446,Male,25,Data Science,2.61,2,8,3,74,63,78,Yes,12350.27
447,Female,22,Engineering,3.31,3,7,4,43,83,58,No,6973.37
448,Male,27,Engineering,2.46,0,5,0,44,90,96,No,15565.36
449,Female,19,Engineering,3.66,0,5,5,56,64,98,Yes,18277.75
450,Male,25,Data Science,3.73,0,7,5,89,58,54,Yes,15491.59
451,Female,22,Data Science,3.68,0,6,0,63,45,56,Yes,16743.46
452,Male,28,Computer Science,2.2,4,3,2,40,63,84,Yes,18898.65
453,Male,28,Engineering,3.59,2,9,3,49,56,55,Yes,11924.96
454,Male,18,Business,3.53,3,6,4,50,79,85,Yes,18345.03
455,Male,19,Arts,3.06,3,7,5,84,53,96,Yes,16643.63
456,Female,20,Arts,3.28,2,7,4,77,72,76,No,8949.18
457,Female,29,Engineering,3.72,3,2,3,78,46,53,Yes,8561.57
458,Male,21,Arts,2.1,1,2,5,95,59,43,Yes,6535.76
459,Female,27,Arts,2.78,3,2,1,71,56,57,Yes,14320.72
460,Male,29,Data Science,2.52,1,7,3,42,50,56,Yes,18040.45
461,Female,18,Data Science,2.76,2,5,5,59,47,71,Yes,4424.87
462,Male,29,Computer Science,2.11,4,2,2,43,96,45,Yes,12843.06
463,Female,24,Engineering,3.37,1,1,2,53,53,92,Yes,14881.34
464,Female,26,Arts,3.88,3,4,2,97,74,44,No,16858.74
465,Female,29,Data Science,2.62,3,2,2,81,59,79,Yes,12475.89
466,Male,29,Arts,3.81,1,1,4,67,73,44,No,14223.56
467,Female,20,Arts,2.33,3,4,2,46,91,60,No,11898.3
468,Male,22,Business,2.29,4,8,0,72,56,51,Yes,6263.11
469,Male,19,Engineering,3.09,4,1,3,97,57,66,Yes,4160.29
470,Male,27,Data Science,2.56,2,7,4,99,73,72,Yes,7350.83
471,Male,24,Data Science,3.11,0,6,2,61,67,55,No,16832.99
472,Female,18,Business,2.81,4,1,4,84,58,66,Yes,5062.67
473,Female,29,Data Science,3.8,1,3,0,43,62,49,No,4219.24
474,Female,21,Business,2.27,3,9,4,88,45,95,No,6774.72
475,Male,23,Engineering,2.78,0,7,3,67,44,54,No,7925.31
476,Male,29,Computer Science,3.55,1,3,3,84,70,47,Yes,9837.96
477,Male,20,Arts,2.31,0,5,0,66,46,46,Yes,17161.06
478,Female,27,Computer Science,3.09,0,9,1,56,47,66,Yes,13611.74
479,Female,24,Business,3.46,0,9,2,47,44,62,Yes,15758.12
480,Female,25,Arts,3.05,4,3,5,78,73,62,Yes,18139.59
481,Male,29,Arts,3.81,3,5,5,89,91,48,Yes,16045.96
482,Male,27,Engineering,2.89,0,6,1,94,53,60,No,7449.3
483,Male,23,Arts,2.5,0,1,0,98,69,63,Yes,12323.3
484,Male,25,Arts,2.62,2,7,5,73,85,57,Yes,10704.07
485,Female,23,Business,3.61,3,9,0,63,99,57,No,16975.31
486,Male,22,Business,3.67,4,6,4,62,49,88,Yes,7249.4
487,Female,22,Business,3.44,3,6,4,68,71,95,Yes,13345.01
488,Female,25,Arts,2.27,4,8,1,60,53,45,Yes,3671.46
489,Male,26,Engineering,2.99,0,2,4,56,49,59,No,8514.71
490,Female,18,Business,3.54,3,1,3,98,96,82,Yes,10989.61
491,Male,28,Arts,2.2,4,5,1,94,94,78,No,6510.68
492,Male,20,Business,2.95,3,8,4,40,50,47,Yes,14431.97
493,Female,20,Engineering,3.76,1,5,3,41,66,81,Yes,9258.06
494,Male,18,Arts,2.25,3,7,2,72,42,45,Yes,6196.55
495,Male,25,Business,2.99,2,6,1,94,85,45,Yes,17767.78
496,Male,29,Engineering,2.33,2,2,5,58,51,46,No,6409.22
497,Female,19,Business,3.72,4,6,3,87,84,50,Yes,12793.86
498,Male,19,Computer Science,2.34,2,3,1,59,53,87,Yes,11253.55
499,Male,18,Arts,2.13,4,1,1,46,92,92,Yes,10552.2
500,Male,20,Data Science,2.4,0,2,3,85,52,65,Yes,7023.75
501,Male,28,Arts,3.07,4,8,0,90,83,59,No,16942.83
502,Male,25,Computer Science,3.76,3,7,2,99,76,63,Yes,13928.58
503,Female,23,Data Science,2.21,3,4,0,69,44,47,Yes,16666.7
504,Female,27,Data Science,3.99,1,8,3,63,95,71,No,15338.29
505,Male,21,Business,3.91,0,4,4,76,63,48,No,15994.41
506,Male,21,Data Science,2.2,2,6,1,60,86,99,Yes,6266.03
507,Female,24,Arts,3.82,2,6,1,73,92,62,Yes,13350.6
508,Female,23,Engineering,3.98,0,6,5,85,71,52,Yes,16395.53
509,Female,29,Computer Science,3.91,3,5,3,96,76,44,Yes,11449.79
510,Female,22,Business,2.77,4,5,5,98,45,53,No,13524.36
511,Female,26,Engineering,3.19,1,8,3,95,96,92,Yes,7625.65
512,Female,27,Data Science,2.21,3,3,3,62,85,84,Yes,10756.02
513,Male,24,Business,3.37,3,3,3,97,55,89,Yes,17255.37
514,Male,22,Business,2.43,4,5,1,59,71,63,No,6564.42
515,Female,28,Computer Science,2.29,0,4,2,45,46,41,Yes,15091.93
516,Male,26,Computer Science,2.58,4,8,3,47,80,42,Yes,13804.98
517,Female,18,Business,2.83,3,8,0,78,95,87,Yes,4277.89
518,Female,29,Business,2.68,3,6,3,99,47,81,No,14296.2
519,Male,24,Data Science,3.17,3,9,1,54,43,52,No,10752.89
520,Female,28,Data Science,2.13,4,8,3,86,71,87,Yes,6092.97
521,Male,22,Arts,2.52,3,4,2,47,99,54,Yes,10264.23
522,Female,27,Business,2.81,3,3,1,91,90,92,No,5153.47
523,Male,18,Data Science,3.14,1,3,4,50,64,72,Yes,19108.06
524,Male,29,Computer Science,2.88,1,7,5,70,47,46,Yes,19567.53
525,Female,28,Arts,2.9,3,8,1,86,68,82,Yes,10241.07
526,Female,18,Engineering,2.88,1,1,5,65,51,92,Yes,6569.08
527,Female,23,Arts,3.63,1,2,0,54,59,54,No,16542.44
528,Male,26,Computer Science,2.39,0,3,4,40,83,50,No,8374.02
529,Male,18,Business,3.79,0,1,0,53,75,70,No,9062.07
530,Female,26,Engineering,2.68,2,2,4,93,47,42,No,9808.5
531,Female,19,Arts,3.83,0,9,0,86,80,50,Yes,15166.75
532,Female,24,Data Science,2.29,4,5,2,71,95,42,Yes,13409.9
533,Male,29,Business,3.6,1,5,4,64,61,65,No,19852.1
534,Male,22,Business,2.08,2,7,4,89,76,54,Yes,17278.68
535,Female,25,Arts,3.85,1,9,4,77,99,69,Yes,19569.56
536,Female,20,Engineering,3.94,2,8,0,95,96,74,Yes,16141.42
537,Female,29,Engineering,2.1,3,6,5,77,62,69,Yes,10183.06
538,Female,23,Data Science,3.61,0,1,5,83,98,40,Yes,18662.88
539,Female,22,Computer Science,2.3,2,3,4,81,58,94,No,9842.24
540,Male,24,Computer Science,3.35,1,4,5,62,44,97,No,4707.38
541,Female,21,Data Science,3.82,2,8,4,50,65,63,Yes,6762.64
542,Male,18,Engineering,3.81,1,7,5,68,75,92,Yes,19639.13
543,Male,22,Data Science,2.43,4,9,0,47,90,50,Yes,6084.81
544,Male,27,Arts,2.21,4,8,2,62,96,47,No,9719.27
545,Female,27,Business,3.31,1,5,1,51,40,80,Yes,17113.95
546,Male,18,Arts,3.35,4,4,4,45,48,48,Yes,11557.62
547,Female,20,Arts,2.65,2,8,0,46,72,71,Yes,14121.73
548,Female,25,Engineering,3.97,2,9,3,71,70,78,No,17844.04
549,Female,24,Business,2.32,4,3,2,99,41,88,Yes,4828.87
550,Male,18,Computer Science,2.38,0,9,4,54,54,92,No,11110.89
551,Male,21,Engineering,2.89,0,4,4,79,92,90,Yes,8497.93
552,Male,24,Engineering,3.17,2,8,5,74,55,54,Yes,13777.61
553,Female,22,Arts,3.69,1,6,4,55,54,42,No,11421.47
554,Male,19,Business,3.88,0,6,3,76,54,51,Yes,8807.72
555,Female,23,Arts,2.04,2,1,3,48,97,55,Yes,6442.3
556,Female,21,Arts,3.79,4,1,5,97,70,43,Yes,5461.97
557,Male,26,Business,2.67,4,4,4,51,85,79,Yes,15635.64
558,Female,27,Engineering,2.22,1,3,5,76,67,76,Yes,17061.18
559,Male,29,Computer Science,2.65,3,9,2,53,95,70,Yes,16329.14
560,Male,18,Engineering,3.79,2,2,1,63,43,76,No,14440.86
561,Male,26,Engineering,2.67,4,8,3,88,66,98,No,13642.2
562,Male,28,Engineering,2.67,3,7,4,45,56,46,Yes,9946.62
563,Male,27,Business,3.23,2,8,0,57,63,95,Yes,13858.72
564,Male,25,Engineering,3.34,1,7,4,59,86,81,Yes,4997.48
565,Female,29,Business,3.05,0,3,4,68,96,58,No,12694.04
566,Female,20,Business,3.97,3,3,2,95,41,52,No,12873.67
567,Male,22,Computer Science,3.92,3,3,1,88,79,90,No,11421.06
568,Female,28,Arts,3.61,3,7,5,73,92,90,Yes,16657.35
569,Female,18,Business,3.54,0,1,3,51,57,45,Yes,9281.36
570,Female,26,Computer Science,2.3,0,8,0,41,42,61,Yes,8473.7
571,Female,21,Arts,2.18,0,7,2,51,87,99,No,4808.08
572,Female,20,Business,3.94,4,7,2,58,88,71,Yes,8402.3
573,Male,21,Data Science,2.16,1,8,5,49,42,98,No,9199.09
574,Male,24,Arts,3.61,4,1,5,97,41,73,Yes,4498.52
575,Female,20,Arts,2.1,0,2,2,66,88,65,Yes,15543.74
576,Male,29,Engineering,2.36,2,3,2,87,75,90,Yes,3577.24
577,Male,26,Arts,2.84,1,4,2,59,60,56,No,18411.37
578,Female,23,Data Science,3.94,4,3,5,74,76,97,Yes,4753.81
579,Female,22,Computer Science,2.85,3,5,5,57,46,89,Yes,6991.14
580,Male,22,Engineering,2.28,1,2,5,78,63,49,Yes,5912.84
581,Male,18,Computer Science,2.35,1,7,5,56,62,82,Yes,13851.21
582,Female,29,Business,3.33,1,7,2,95,43,75,No,19832.51
583,Female,18,Arts,3.95,4,7,1,64,85,65,No,17178.33
584,Female,21,Computer Science,2.12,3,8,1,59,41,52,Yes,4162.87
585,Female,29,Engineering,3.75,3,1,0,63,81,69,Yes,4892.69
586,Female,26,Computer Science,3.05,4,7,2,65,83,53,Yes,12116.9
587,Male,29,Computer Science,2.34,1,2,3,83,40,50,No,16257.87
588,Male,23,Computer Science,3.15,3,9,2,78,94,57,No,15110.23
589,Male,22,Business,3.4,4,8,0,64,61,61,Yes,11673.43
590,Female,29,Engineering,3.22,3,7,5,46,86,62,No,3436.01
591,Female,29,Business,3.85,1,1,0,56,74,76,Yes,19761.43
592,Female,19,Engineering,3.28,4,1,0,91,81,94,Yes,15934.35
593,Female,22,Arts,2.84,4,1,0,67,52,46,Yes,13398.42
594,Female,20,Data Science,2.59,4,3,5,77,59,41,Yes,15098.55
595,Female,19,Business,2.78,2,7,3,80,53,64,No,13140.38
596,Female,22,Business,2.52,3,9,4,59,45,78,No,14940.13
597,Male,19,Data Science,2.86,3,9,1,73,81,63,Yes,8607.62
598,Male,28,Data Science,2.71,0,5,0,77,96,82,No,16772.72
599,Male,26,Engineering,2.97,3,4,3,50,59,60,No,4159.32
600,Female,19,Engineering,2.13,4,6,1,69,69,90,No,11214.65
